runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:30.000629Z> 59E INF/TCOM/CCHH, TC_DMGR_RACH_ACTIVATION_RESP_MSG from 0x1011016F, size: 12 cellId: 3679 status: 0 (EStatus_NoError) cause: 0 (ECause_NoCause)
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:30.000756Z> 59E INF/TCOM/CCHH, CCHH_CMEAS_RACH_RESOURCE_INFO_IND_MSG to 0x140D0158, size: 92 cellId: 3679 rachId: 1 prachId: 2 numOfWSPAddress: 1 rachInfoNature: 1 (ERachInfoNature_Activated)
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:30.001454Z> 59E DBG/TCOM/CCHH, RACH: [ l1AichId: 3 wSPaddress: 0x14820250 ]
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:30.001824Z> 5A7 INF/TCOM/CM, CCHH_CMEAS_RACH_RESOURCE_INFO_IND_MSG received, cellId: 3679, rachId: 1, prachId: 2, rachInfoNature: 1 (Activated), rachFound: false, nbrOfRachMeasurements: 0, board: 0x14, cpu: 0x82, sfn: 2056
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:30.001896Z> 59E INF/TCOM/CCHH, TC_DMGR_RACH_ACTIVATION_RESP_MSG: RACH activation finished for cellId: 3679
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:30.001958Z> 59E INF/TCOM/CCHH, TC_CCHH_CTCH_SETUP_REQ_MSG from 0x140D016D, size: 2764 cellId: 3679 channelToBeConfChoice: 0 (ECommonPhysicalChannelToBeConfigChoice_SecondaryCCPCH) configGenerationId: 0 transactionId: 17418
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:30.001995Z> 59E DBG/TCOM/CCHH, SCCPCH: [ commonPhysicalChannelId: 4 sCCPCHFrameOffset: 65535 sccpchOffset: 30 ]
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:30.002037Z> 59E DBG/TCOM/CCHH, SCCPCH: [ tfcs.ctfc: 0 1 2 3 4 6  ]
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:30.002128Z> 59E DBG/TCOM/CCHH, FACH: [ commonTransportChannelId: 7 bindingId: 1051328512 maxFACHPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10 ]
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:30.002194Z> 59E DBG/TCOM/CCHH, FACH: [ commonTransportChannelId: 10 bindingId: 1051262976 maxFACHPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.252000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.002259Z> 59E DBG/TCOM/CCHH, PCH: [ commonTransportChannelId: 5 bindingId: 1051394048 pchPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10
SYSLOG_096_merged.LOG    |17.12 14:20:32.252000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.002290Z> 59E DBG/TCOM/CCHH, PICH: [ commonPhysicalChannelId: 8 pichPower: -8 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.252000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.002980Z> 59E INF/TCOM/CCHH, TC_LRM_FACH_PCH_SETUP_REQ_MSG to 0x140D015B, size: 2760 cellId: 3679 transactionId: 17418 sccpchId: 4
SYSLOG_096_merged.LOG    |17.12 14:20:32.231000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985167Z> 59E INF/TCOM/NC,  2/ 2 A6400C0016B1000244000021000021009C004940050200000050000100505010D1340019000A015E000800032480000300664005603EAB0000006840091B803500010A0C0512026840020B8013A6400C001811000268000024000024
SYSLOG_096_merged.LOG    |17.12 14:20:32.231000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985628Z> 59E INF/TCOM/CCHH, TC_CCHH_CTCH_SETUP_REQ_MSG from 0x140D016D, size: 2764 cellId: 3679 channelToBeConfChoice: 0 (ECommonPhysicalChannelToBeConfigChoice_SecondaryCCPCH) configGenerationId: 0 transactionId: 17418
